מספר בדיקה,TC_02,תאריך,04/10/2023,
3,"לחץ על לחצן ""תיאור לתמונות""",התמונות באתר אמורים להיות מוצגים דרך חלונית צפה,התמונות באתר מוצגים דרך חלונית צפה,עבר
,,,,
שם הבדיקה,בדיקה של נגישות תיאור לתמונות שהקישורים בדף הבית עובדים,סוג הבדיקה,ממשק המשתמש,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""תיאור לתמונות""",,,
4,סגור את תפריט הנגישות ,,,
5,לחץ על הקישורים בסרגל תפריט בדף הבית,קישורים עובדים ונלחצים,קישורים לא נלחצים ,נכשל
,,,,
שם הבדיקה,"בדיקה של נגישות תיאור לתמונות שהקישורים בדף ""סניפים"" עובדים",סוג הבדיקה,ממשק המשתמש,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""תיאור לתמונות""",,,
4,סגור את תפריט הנגישות ,,,
5,"לחץ על הקישור ""סניפים"" בדף הבית ",,,
6,לחץ על הקישורים והלחצנים,קישורים ולחצנים עובדים,קישורים ולחצנים לא נלחצים ,נכשל
,,,,
שם הבדיקה,"בדיקה של נגישות תיאור לתמונות שהקישורים בדף ""הזמנות"" עובדים",סוג הבדיקה,ממשק המשתמש,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""תיאור לתמונות""",,,
4,סגור את תפריט הנגישות ,,,
5,"לחץ על הקישור ""תפריט"" בדף הבית ",,,
6,לחץ על הקישורים והלחצנים,קישורים ולחצנים עובדים,קישורים ולחצנים לא נלחצים ,נכשל
,,,,
שם הבדיקה,"בדיקה של נגישות תיאור לתמונות שהקישורים בדף ""הזמנות-משלוח"" עובדים",סוג הבדיקה,ממשק המשתמש,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""תיאור לתמונות""",,,
4,סגור את תפריט הנגישות ,,,
5,"לחץ על הקישור ""תפריט"" בדף הבית ",,,
6,"לחץ על לחצן ""הוספת כתובת חדשה""",,,
7,לחץ על הקישורים והלחצנים ותמלא את השדות הדרושים ,לחצנים וקישורים עובדים ונלחצים ואפשר למלא את השדות הדרושים,לחצנים וקישורים לא נלחצים ואי אפשר למלא את השדות הדרושים,נכשל
,,,,
שם הבדיקה,"בדיקה של נגישות תיאור לתמונות שהקישורים בדף ""כיף בדומינוס"" עובדים",סוג הבדיקה,ממשק המשתמש,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""תיאור לתמונות""",,,
4,סגור את תפריט הנגישות ,,,
5,"לחץ על הקישור ""דרושים"" בדף הבית ",,,
6,"לחץ על לחצן ""כיף בדומינוס""",,,
7,לחץ על הקישורים  ,קישורים עובדים ונלחצים,הקישור הראשון לא נלחץ,נכשל
,,,,
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""הדגשת קישורים"" תקין ",סוג הבדיקה,ממשק המשתמש,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
